"yourlist:M20201123A94466D2655679D1FD8953E075198DA817123DO","Entry","Function [CC]"
"Q9NZN5","Q9NZN5","FUNCTION: May play a role in the regulation of RhoA GTPase by guanine nucleotide-binding alpha-12 (GNA12) and alpha-13 (GNA13). Acts as guanine nucleotide exchange factor (GEF) for RhoA GTPase and may act as GTPase-activating protein (GAP) for GNA12 and GNA13. {ECO:0000269|PubMed:11094164}."
"P54687","P54687","FUNCTION: Catalyzes the first reaction in the catabolism of the essential branched chain amino acids leucine, isoleucine, and valine."
"P0DP23","P0DP23","FUNCTION: Calmodulin mediates the control of a large number of enzymes, ion channels, aquaporins and other proteins through calcium-binding. Among the enzymes to be stimulated by the calmodulin-calcium complex are a number of protein kinases and phosphatases. Together with CCP110 and centrin, is involved in a genetic pathway that regulates the centrosome cycle and progression through cytokinesis (PubMed:16760425). Is a regulator of voltage-dependent L-type calcium channels (PubMed:31454269). Mediates calcium-dependent inactivation of CACNA1C (PubMed:26969752). Positively regulates calcium-activated potassium channel activity of KCNN2 (PubMed:27165696). Forms a potassium channel complex with KCNQ1 and regulates electrophysiological activity of the channel via calcium-binding (PubMed:25441029). {ECO:0000269|PubMed:16760425, ECO:0000269|PubMed:23893133, ECO:0000269|PubMed:26969752, ECO:0000269|PubMed:27165696, ECO:0000269|PubMed:31454269}.; FUNCTION: (Microbial infection) Required for Legionella pneumophila SidJ glutamylase activity. {ECO:0000269|PubMed:31330532}."
"Q03135","Q03135","FUNCTION: May act as a scaffolding protein within caveolar membranes (PubMed:11751885). Forms a stable heterooligomeric complex with CAV2 that targets to lipid rafts and drives caveolae formation. Mediates the recruitment of CAVIN proteins (CAVIN1/2/3/4) to the caveolae (PubMed:19262564). Interacts directly with G-protein alpha subunits and can functionally regulate their activity (By similarity). Involved in the costimulatory signal essential for T-cell receptor (TCR)-mediated T-cell activation. Its binding to DPP4 induces T-cell proliferation and NF-kappa-B activation in a T-cell receptor/CD3-dependent manner (PubMed:17287217). Recruits CTNNB1 to caveolar membranes and may regulate CTNNB1-mediated signaling through the Wnt pathway (By similarity). Negatively regulates TGFB1-mediated activation of SMAD2/3 by mediating the internalization of TGFBR1 from membrane rafts leading to its subsequent degradation (PubMed:25893292). {ECO:0000250|UniProtKB:P49817, ECO:0000269|PubMed:11751885, ECO:0000269|PubMed:17287217, ECO:0000269|PubMed:19262564, ECO:0000269|PubMed:25893292}."
"Q6NZI2","Q6NZI2","FUNCTION: Plays an important role in caveolae formation and organization. Essential for the formation of caveolae in all tissues (PubMed:18056712, PubMed:18191225, PubMed:19726876). Core component of the CAVIN complex which is essential for recruitment of the complex to the caveolae in presence of calveolin-1 (CAV1). Essential for normal oligomerization of CAV1. Promotes ribosomal transcriptional activity in response to metabolic challenges in the adipocytes and plays an important role in the formation of the ribosomal transcriptional loop. Dissociates transcription complexes paused by DNA-bound TTF1, thereby releasing both RNA polymerase I and pre-RNA from the template (By similarity) (PubMed:18056712, PubMed:18191225, PubMed:19726876). The caveolae biogenesis pathway is required for the secretion of proteins such as GASK1A (By similarity). {ECO:0000250|UniProtKB:O54724, ECO:0000269|PubMed:18056712, ECO:0000269|PubMed:18191225, ECO:0000269|PubMed:19726876}."
"P16671","P16671","FUNCTION: Multifunctional glycoprotein that acts as receptor for a broad range of ligands. Ligands can be of proteinaceous nature like thrombospondin, fibronectin, collagen or amyloid-beta as well as of lipidic nature such as oxidized low-density lipoprotein (oxLDL), anionic phospholipids, long-chain fatty acids and bacterial diacylated lipopeptides. They are generally multivalent and can therefore engage multiple receptors simultaneously, the resulting formation of CD36 clusters initiates signal transduction and internalization of receptor-ligand complexes. The dependency on coreceptor signaling is strongly ligand specific. Cellular responses to these ligands are involved in angiogenesis, inflammatory response, fatty acid metabolism, taste and dietary fat processing in the intestine (Probable). Binds long-chain fatty acids and facilitates their transport into cells, thus participating in muscle lipid utilization, adipose energy storage, and gut fat absorption (By similarity) (PubMed:18353783, PubMed:21610069). In the small intestine, plays a role in proximal absorption of dietary fatty acid and cholesterol for optimal chylomicron formation, possibly through the activation of MAPK1/3 (ERK1/2) signaling pathway (By similarity) (PubMed:18753675). Involved in oral fat perception and preferences (PubMed:22240721, PubMed:25822988). Detection into the tongue of long-chain fatty acids leads to a rapid and sustained rise in flux and protein content of pancreatobiliary secretions (By similarity). In taste receptor cells, mediates the induction of an increase in intracellular calcium levels by long-chain fatty acids, leading to the activation of the gustatory neurons in the nucleus of the solitary tract (By similarity). Important factor in both ventromedial hypothalamus neuronal sensing of long-chain fatty acid and the regulation of energy and glucose homeostasis (By similarity). Receptor for thombospondins, THBS1 and THBS2, mediating their antiangiogenic effects (By similarity). As a coreceptor for TLR4:TLR6 heterodimer, promotes inflammation in monocytes/macrophages. Upon ligand binding, such as oxLDL or amyloid-beta 42, interacts with the heterodimer TLR4:TLR6, the complex is internalized and triggers inflammatory response, leading to NF-kappa-B-dependent production of CXCL1, CXCL2 and CCL9 cytokines, via MYD88 signaling pathway, and CCL5 cytokine, via TICAM1 signaling pathway, as well as IL1B secretion, through the priming and activation of the NLRP3 inflammasome (By similarity) (PubMed:20037584). Selective and nonredundant sensor of microbial diacylated lipopeptide that signal via TLR2:TLR6 heterodimer, this cluster triggers signaling from the cell surface, leading to the NF-kappa-B-dependent production of TNF, via MYD88 signaling pathway and subsequently is targeted to the Golgi in a lipid-raft dependent pathway (By similarity) (PubMed:16880211). {ECO:0000250|UniProtKB:Q07969, ECO:0000250|UniProtKB:Q08857, ECO:0000269|PubMed:16880211, ECO:0000269|PubMed:18353783, ECO:0000269|PubMed:18753675, ECO:0000269|PubMed:20037584, ECO:0000269|PubMed:21395585, ECO:0000269|PubMed:21610069, ECO:0000269|PubMed:22240721, ECO:0000269|PubMed:25822988, ECO:0000305|PubMed:19471024}.; FUNCTION: (Microbial infection) Directly mediates cytoadherence of Plasmodium falciparum parasitized erythrocytes and the internalization of particles independently of TLR signaling. {ECO:0000269|PubMed:10890433, ECO:0000269|PubMed:12506336, ECO:0000269|PubMed:19864601}."
"Q9Y696","Q9Y696","FUNCTION: Can insert into membranes and form poorly selective ion channels that may also transport chloride ions. Channel activity depends on the pH. Membrane insertion seems to be redox-regulated and may occur only under oxydizing conditions. Promotes cell-surface expression of HRH3. Has alternate cellular functions like a potential role in angiogenesis or in maintaining apical-basolateral membrane polarity during mitosis and cytokinesis. Could also promote endothelial cell proliferation and regulate endothelial morphogenesis (tubulogenesis). {ECO:0000269|PubMed:12163372, ECO:0000269|PubMed:14569596, ECO:0000269|PubMed:16176272, ECO:0000269|PubMed:16239224, ECO:0000269|PubMed:18302930, ECO:0000269|PubMed:19247789}."
"P21554","P21554","FUNCTION: G-protein coupled receptor for endogenous cannabinoids (eCBs), including N-arachidonoylethanolamide (also called anandamide or AEA) and 2-arachidonoylglycerol (2-AG), as well as phytocannabinoids, such as delta(9)-tetrahydrocannabinol (THC) (PubMed:15620723, PubMed:27768894, PubMed:27851727). Mediates many cannabinoid-induced effects, acting, among others, on food intake, memory loss, gastrointestinal motility, catalepsy, ambulatory activity, anxiety, chronic pain. Signaling typically involves reduction in cyclic AMP (PubMed:1718258, PubMed:21895628, PubMed:27768894). In the hypothalamus, may have a dual effect on mitochondrial respiration depending upon the agonist dose and possibly upon the cell type. Increases respiration at low doses, while decreases respiration at high doses. At high doses, CNR1 signal transduction involves G-protein alpha-i protein activation and subsequent inhibition of mitochondrial soluble adenylate cyclase, decrease in cyclic AMP concentration, inhibition of protein kinase A (PKA)-dependent phosphorylation of specific subunits of the mitochondrial electron transport system, including NDUFS2. In the hypothalamus, inhibits leptin-induced reactive oxygen species (ROS) formation and mediates cannabinoid-induced increase in SREBF1 and FASN gene expression. In response to cannabinoids, drives the release of orexigenic beta-endorphin, but not that of melanocyte-stimulating hormone alpha/alpha-MSH, from hypothalamic POMC neurons, hence promoting food intake. In the hippocampus, regulates cellular respiration and energy production in response to cannabinoids. Involved in cannabinoid-dependent depolarization-induced suppression of inhibition (DSI), a process in which depolarization of CA1 postsynaptic pyramidal neurons mobilizes eCBs, which retrogradely activate presynaptic CB1 receptors, transiently decreasing GABAergic inhibitory neurotransmission. Also reduces excitatory synaptic transmission (By similarity). In superior cervical ganglions and cerebral vascular smooth muscle cells, inhibits voltage-gated Ca(2+) channels in a constitutive, as well as agonist-dependent manner (PubMed:17895407). In cerebral vascular smooth muscle cells, cannabinoid-induced inhibition of voltage-gated Ca(2+) channels leads to vasodilation and decreased vascular tone (By similarity). Induces leptin production in adipocytes and reduces LRP2-mediated leptin clearance in the kidney, hence participating in hyperleptinemia. In adipose tissue, CNR1 signaling leads to increased expression of SREBF1, ACACA and FASN genes (By similarity). In the liver, activation by endocannabinoids leads to increased de novo lipogenesis and reduced fatty acid catabolism, associated with increased expression of SREBF1/SREBP-1, GCK, ACACA, ACACB and FASN genes. May also affect de novo cholesterol synthesis and HDL-cholesteryl ether uptake. Peripherally modulates energy metabolism (By similarity). In high carbohydrate diet-induced obesity, may decrease the expression of mitochondrial dihydrolipoyl dehydrogenase/DLD in striated muscles, as well as that of selected glucose/ pyruvate metabolic enzymes, hence affecting energy expenditure through mitochondrial metabolism (By similarity). In response to cannabinoid anandamide, elicits a proinflammatory response in macrophages, which involves NLRP3 inflammasome activation and IL1B and IL18 secretion (By similarity). In macrophages infiltrating pancreatic islets, this process may participate in the progression of type-2 diabetes and associated loss of pancreatic beta-cells (PubMed:23955712). {ECO:0000250|UniProtKB:O02777, ECO:0000250|UniProtKB:P47746, ECO:0000269|PubMed:15620723, ECO:0000269|PubMed:1718258, ECO:0000269|PubMed:17895407, ECO:0000269|PubMed:21895628, ECO:0000269|PubMed:23955712, ECO:0000269|PubMed:27768894, ECO:0000269|PubMed:27851727}.; FUNCTION: [Isoform 1]: Binds both 2-AG and anandamide. {ECO:0000269|PubMed:15620723}.; FUNCTION: [Isoform 2]: Only binds 2-AG with high affinity. Contrary to its effect on isoform 1, 2-AG behaves as an inverse agonist on isoform 2 in assays measuring GTP binding to membranes. {ECO:0000269|PubMed:15620723}.; FUNCTION: [Isoform 3]: Only binds 2-AG with high affinity. Contrary to its effect on isoform 1, 2-AG behaves as an inverse agonist on isoform 3 in assays measuring GTP binding to membranes. {ECO:0000269|PubMed:15620723}."
"Q9UBF2","Q9UBF2","FUNCTION: The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins. In mammals, the coatomer can only be recruited by membranes associated to ADP-ribosylation factors (ARFs), which are small GTP-binding proteins; the complex also influences the Golgi structural integrity, as well as the processing, activity, and endocytic recycling of LDL receptors (By similarity). {ECO:0000250}."
"P07339","P07339","FUNCTION: Acid protease active in intracellular protein breakdown. Plays a role in APP processing following cleavage and activation by ADAM30 which leads to APP degradation (PubMed:27333034). Involved in the pathogenesis of several diseases such as breast cancer and possibly Alzheimer disease. {ECO:0000269|PubMed:27333034}."
"P10635","P10635","FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of fatty acids, steroids and retinoids (PubMed:18698000, PubMed:19965576, PubMed:20972997, PubMed:21289075, PubMed:21576599). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:18698000, PubMed:19965576, PubMed:20972997, PubMed:21289075, PubMed:21576599). Catalyzes the epoxidation of double bonds of polyunsaturated fatty acids (PUFA) (PubMed:19965576, PubMed:20972997). Metabolizes endocannabinoid arachidonoylethanolamide (anandamide) to 20-hydroxyeicosatetraenoic acid ethanolamide (20-HETE-EA) and 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid ethanolamides (EpETrE-EAs), potentially modulating endocannabinoid system signaling (PubMed:18698000, PubMed:21289075). Catalyzes the hydroxylation of carbon-hydrogen bonds. Metabolizes cholesterol toward 25-hydroxycholesterol, a physiological regulator of cellular cholesterol homeostasis (PubMed:21576599). Catalyzes the oxidative transformations of all-trans retinol to all-trans retinal, a precursor for the active form all-trans-retinoic acid (PubMed:10681376). Also involved in the oxidative metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic antidepressants. {ECO:0000269|PubMed:10681376, ECO:0000269|PubMed:16352597, ECO:0000269|PubMed:18698000, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:20972997, ECO:0000269|PubMed:21289075, ECO:0000269|PubMed:21576599}."
"Q96DT5","Q96DT5","FUNCTION: Force generating protein of respiratory cilia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP."
"P14416","P14416","FUNCTION: Dopamine receptor whose activity is mediated by G proteins which inhibit adenylyl cyclase (PubMed:21645528). Positively regulates postnatal regression of retinal hyaloid vessels via suppression of VEGFR2/KDR activity, downstream of OPN5 (By similarity). {ECO:0000250|UniProtKB:P61168, ECO:0000269|PubMed:21645528}."
"O43237","O43237","FUNCTION: Acts as one of several non-catalytic accessory components of the cytoplasmic dynein 1 complex that are thought to be involved in linking dynein to cargos and to adapter proteins that regulate dynein function. Cytoplasmic dynein 1 acts as a motor for the intracellular retrograde motility of vesicles and organelles along microtubules. May play a role in binding dynein to membranous organelles or chromosomes."
"Q15910","Q15910","FUNCTION: Polycomb group (PcG) protein. Catalytic subunit of the PRC2/EED-EZH2 complex, which methylates 'Lys-9' (H3K9me) and 'Lys-27' (H3K27me) of histone H3, leading to transcriptional repression of the affected target gene. Able to mono-, di- and trimethylate 'Lys-27' of histone H3 to form H3K27me1, H3K27me2 and H3K27me3, respectively. Displays a preference for substrates with less methylation, loses activity when progressively more methyl groups are incorporated into H3K27, H3K27me0 > H3K27me1 > H3K27me2 (PubMed:22323599, PubMed:30923826). Compared to EZH1-containing complexes, it is more abundant in embryonic stem cells and plays a major role in forming H3K27me3, which is required for embryonic stem cell identity and proper differentiation. The PRC2/EED-EZH2 complex may also serve as a recruiting platform for DNA methyltransferases, thereby linking two epigenetic repression systems. Genes repressed by the PRC2/EED-EZH2 complex include HOXC8, HOXA9, MYT1, CDKN2A and retinoic acid target genes. EZH2 can also methylate non-histone proteins such as the transcription factor GATA4 and the nuclear receptor RORA. Regulates the circadian clock via histone methylation at the promoter of the circadian genes. Essential for the CRY1/2-mediated repression of the transcriptional activation of PER1/2 by the CLOCK-ARNTL/BMAL1 heterodimer; involved in the di and trimethylation of 'Lys-27' of histone H3 on PER1/2 promoters which is necessary for the CRY1/2 proteins to inhibit transcription. {ECO:0000269|PubMed:14532106, ECO:0000269|PubMed:15225548, ECO:0000269|PubMed:15231737, ECO:0000269|PubMed:15385962, ECO:0000269|PubMed:16179254, ECO:0000269|PubMed:16357870, ECO:0000269|PubMed:16618801, ECO:0000269|PubMed:16717091, ECO:0000269|PubMed:16936726, ECO:0000269|PubMed:17210787, ECO:0000269|PubMed:17344414, ECO:0000269|PubMed:18285464, ECO:0000269|PubMed:19026781, ECO:0000269|PubMed:20935635, ECO:0000269|PubMed:22323599, ECO:0000269|PubMed:23063525, ECO:0000269|PubMed:24474760, ECO:0000269|PubMed:30923826}."
"Q8IXS8","Q8IXS8","FUNCTION: Component of a complex required to localize phosphatidylinositol 4-kinase (PI4K) to the plasma membrane. {ECO:0000305|PubMed:26571211}."
"P98095","P98095","FUNCTION: Its binding to fibronectin and some other ligands is calcium dependent. May act as an adapter that mediates the interaction between FBN1 and ELN (PubMed:17255108). {ECO:0000269|PubMed:17255108}."
"O94952","O94952","FUNCTION: Substrate-recognition component of the SCF (SKP1-CUL1-F-box protein)-type E3 ubiquitin ligase complex. {ECO:0000250}."
"Q9UHY8","Q9UHY8","FUNCTION: Involved in axonal outgrowth and fasciculation. {ECO:0000250}."
"P05230","P05230","FUNCTION: Plays an important role in the regulation of cell survival, cell division, angiogenesis, cell differentiation and cell migration. Functions as potent mitogen in vitro. Acts as a ligand for FGFR1 and integrins. Binds to FGFR1 in the presence of heparin leading to FGFR1 dimerization and activation via sequential autophosphorylation on tyrosine residues which act as docking sites for interacting proteins, leading to the activation of several signaling cascades. Binds to integrin ITGAV:ITGB3. Its binding to integrin, subsequent ternary complex formation with integrin and FGFR1, and the recruitment of PTPN11 to the complex are essential for FGF1 signaling. Induces the phosphorylation and activation of FGFR1, FRS2, MAPK3/ERK1, MAPK1/ERK2 and AKT1 (PubMed:18441324, PubMed:20422052). Can induce angiogenesis (PubMed:23469107). {ECO:0000269|PubMed:16597617, ECO:0000269|PubMed:18441324, ECO:0000269|PubMed:20145243, ECO:0000269|PubMed:20422052, ECO:0000269|PubMed:23469107, ECO:0000269|PubMed:8663044}."
"Q96C11","Q96C11",""
"Q12841","Q12841","FUNCTION: May modulate the action of some growth factors on cell proliferation and differentiation. Binds heparin (By similarity). {ECO:0000250}."
"Q9C0B1","Q9C0B1","FUNCTION: RNA demethylase that mediates oxidative demethylation of different RNA species, such as mRNAs, tRNAs and snRNAs, and acts as a regulator of fat mass, adipogenesis and energy homeostasis (PubMed:22002720, PubMed:26458103, PubMed:28002401, PubMed:30197295, PubMed:26457839, PubMed:25452335). Specifically demethylates N(6)-methyladenosine (m6A) RNA, the most prevalent internal modification of messenger RNA (mRNA) in higher eukaryotes (PubMed:22002720, PubMed:26458103, PubMed:30197295, PubMed:26457839, PubMed:25452335). M6A demethylation by FTO affects mRNA expression and stability (PubMed:30197295). Also able to demethylate m6A in U6 small nuclear RNA (snRNA) (PubMed:30197295). Mediates demethylation of N(6),2'-O-dimethyladenosine cap (m6A(m)), by demethylating the N(6)-methyladenosine at the second transcribed position of mRNAs and U6 snRNA (PubMed:28002401, PubMed:30197295). Demethylation of m6A(m) in the 5'-cap by FTO affects mRNA stability by promoting susceptibility to decapping (PubMed:28002401). Also acts as a tRNA demethylase by removing N(1)-methyladenine from various tRNAs (PubMed:30197295). Has no activity towards 1-methylguanine (PubMed:20376003). Has no detectable activity towards double-stranded DNA (PubMed:20376003). Also able to repair alkylated DNA and RNA by oxidative demethylation: demethylates single-stranded RNA containing 3-methyluracil, single-stranded DNA containing 3-methylthymine and has low demethylase activity towards single-stranded DNA containing 1-methyladenine or 3-methylcytosine (PubMed:18775698, PubMed:20376003). Ability to repair alkylated DNA and RNA is however unsure in vivo (PubMed:18775698, PubMed:20376003). Involved in the regulation of fat mass, adipogenesis and body weight, thereby contributing to the regulation of body size and body fat accumulation (PubMed:18775698, PubMed:20376003). Involved in the regulation of thermogenesis and the control of adipocyte differentiation into brown or white fat cells (PubMed:26287746). Regulates activity of the dopaminergic midbrain circuitry via its ability to demethylate m6A in mRNAs (By similarity). Plays an oncogenic role in a number of acute myeloid leukemias by enhancing leukemic oncogene-mediated cell transformation: acts by mediating m6A demethylation of target transcripts such as MYC, CEBPA, ASB2 and RARA, leading to promote their expression (PubMed:28017614, PubMed:29249359). {ECO:0000250|UniProtKB:Q8BGW1, ECO:0000269|PubMed:18775698, ECO:0000269|PubMed:20376003, ECO:0000269|PubMed:22002720, ECO:0000269|PubMed:25452335, ECO:0000269|PubMed:26287746, ECO:0000269|PubMed:26457839, ECO:0000269|PubMed:26458103, ECO:0000269|PubMed:28002401, ECO:0000269|PubMed:28017614, ECO:0000269|PubMed:29249359, ECO:0000269|PubMed:30197295}."
"Q99988","Q99988","FUNCTION: Regulates food intake, energy expenditure and body weight in response to metabolic and toxin-induced stresses (PubMed:28953886, PubMed:28846097, PubMed:28846098, PubMed:28846099, PubMed:23468844, PubMed:29046435). Binds to its receptor, GFRAL, and activates GFRAL-expressing neurons localized in the area postrema and nucleus tractus solitarius of the brainstem (PubMed:28953886, PubMed:28846097, PubMed:28846098, PubMed:28846099). It then triggers the activation of neurons localized within the parabrachial nucleus and central amygdala, which contitutes part of the 'emergency circuit' that shapes feeding responses to stressful conditions (PubMed:28953886). On hepatocytes, inhibits growth hormone signaling (By similarity). {ECO:0000250|UniProtKB:Q9Z0J7, ECO:0000269|PubMed:23468844, ECO:0000269|PubMed:28846097, ECO:0000269|PubMed:28846098, ECO:0000269|PubMed:28846099, ECO:0000269|PubMed:28953886, ECO:0000269|PubMed:29046435}."
"P01241","P01241","FUNCTION: Plays an important role in growth control. Its major role in stimulating body growth is to stimulate the liver and other tissues to secrete IGF-1. It stimulates both the differentiation and proliferation of myoblasts. It also stimulates amino acid uptake and protein synthesis in muscle and other tissues."
"Q9UBU3","Q9UBU3","FUNCTION: Ghrelin is the ligand for growth hormone secretagogue receptor type 1 (GHSR). Induces the release of growth hormone from the pituitary. Has an appetite-stimulating effect, induces adiposity and stimulates gastric acid secretion. Involved in growth regulation.; FUNCTION: Obestatin may be the ligand for GPR39. May have an appetite-reducing effect resulting in decreased food intake. May reduce gastric emptying activity and jejunal motility (By similarity). {ECO:0000250}."
"P16520","P16520","FUNCTION: Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction."
