interactor A gene symbol	 interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
PRRC2A	MAD2L2	P48634	Q9UI95
PRRC2A	P4HA2	P48634	O15460
PRRC2A	CCR10	P48634	P46092
C1QBP	PRRC2A	Q07021	P48634
EIF3E	PRRC2A	P60228	P48634
PRRC2A	GANAB	P48634	Q14697
HNRNPA1	PRRC2A	P09651	P48634
PRRC2A	PSMA3	P48634	P25788
HNRNPM	PRRC2A	P52272	P48634
PRRC2A	MAN2C1	P48634	Q9NTJ4
PRRC2A	SSR3	P48634	Q9UNL2
PRRC2A	DDX20	P48634	Q9UHI6
UBAP2L	PRRC2A	Q14157	P48634
IMMT	PRRC2A	Q16891	P48634
PRRC2A	CPSF1	P48634	Q10570
PRRC2A	PRMT2	P48634	P55345
PRRC2A	QARS	P48634	P47897
IFT88	PRRC2A	Q13099	P48634
XRN1	BAG6	Q8IZH2	P46379
HTT	SETD2	P42858	Q9BYW2
HAP1	HTT	P54257	P42858
HTT	ZDHHC17	P42858	Q8IUH5
HYPK	HTT	Q9NX55	P42858
TRIP10	HTT	Q15642	P42858
MEF2D	YWHAQ	Q14814	P27348
TCF3	HAND2	P15923	P61296
TCF3	ID3	P15923	Q02535
IGF1R	IRS1	P08069	P35568
YWHAE	IGF1R	P62258	P08069
SOCS1	IGF1R	O15524	P08069
PTK2	IRS1	Q05397	P35568
MAPK8	IRS1	P45983	P35568
INSR	IRS1	P06213	P35568
IL1A	NDN	P01583	Q99608
JAK2	PRMT5	O60674	O14744
JAK2	SOCS1	O60674	O15524
BYSL	KRT8	Q13895	P05787
KRT18	CBL	P05783	P22681
KRT18	DNAJB6	P05783	O75190
LMNA	LMNB1	P02545	P20700
