gene_id	seed_gene_involved	interactions_seeds_ids
23365	T	7706,5792,387,55789,115708,4646,10672,27252,105988,2776,23654,6195,54810,9218,389,7006,1956,1195,8139,1540,153478,55701,4914,57664,960,999,3480,16412,23677,8508,9126,23365,9826,6742,9217,76117,2768,155348,5364,6197,23314,1445,84960,8626,8452,10549,2100,409,25962,284427,2099,3187,10755,3178
586	T	90060,178,254427,55170,25793,141,741,471,34,6678,54438,2876,80324,9320,5528,9830,3939,253143,10155,7415,5187,2957,5621,84080,4090,64219,254956,127281,11267,11060,9931,9958,55689,23028,405,10449,1762,6311,10620,2053,5660,22930,5270,84676,8672,64149,114984,11112,152992,56931,26009,84675,2962,55791
801	T	2969,18574,2596,55172,6386,8450,9882,161582,1068,286940,10112,6331,5724,91624,4604,9685,54443,66314,9841,4609,6236,19894,94186,19047,54014,134359,598,2287,20964,10142,10133,22630,2915,56421,50884,3745,7402,1432,22919,79811,118,648,6192,13627,115265,1743,5160,2811,3783,55156,667,9933,50875,18080,56852,1159,1994,10645,12934,1499,10933,5708,19340,5921,67427,1025,7442,65979,20980,20740,67145,9040,19359,140465,5899,6696,360213,156110,11113,2040,114294,6455,1654,6249,9495,234729,234663,66589,218038,274,3064,5587,6210,16438,49855,7381,108989,9258,20405,3358,21985,215821,7124,18711,8878,12323,9738,4703,51206,73748,56356,55692,23790,4641,6456,2669,5786,8539,18573,20979,67972,139818,367,66049,108058,23295,1813,5718,3782,102093,381290,25764,154,6925,77579,3780,8359,2099,76960,29927,6256,10345,8874,4077,12306,27185,235442,22153,24050,23125,34,53420,75465,22631,5898,1264,9188,57620,5066,18221,3728,17184,405,55011,800,238880,18642,18082,18951,2928,2130,3845,16565,16564,10482,6929,2288,94180,320707,1080,19088,270192,80726,80184,11329,64051,14269,227541,10788,19046,14467,107831,12799,4102,17886,2316,5116,6840,2868,71702,11764,227446,10138,155971,19267,79598,6329,268980,3161,7024,5136,10989,84856,9260,5894,22342,3756,67068,19055,23770,70620,8663,20742,74142,20823,851676,6208,988,18750,6622,76787,70,10540,1612,18125,64383,224020,110078,4057,13822,2100,19325,55664,68585,13426,7316,74192,319934,207,3320,58222,120892,132320,6014,4843,22628,17957,267,17913,52398,13175,11518,76499,30052,23077,9929,6727,6202,8452,775,19056,328,107975,9994,128239,4988,9055,25898,4846,6926,19070,23576,4430,2886,52163,51406,7064,1540,6625,399687,17756,9782,4647,7337,7273,6262,6430,5887,5290,56526,6844,17118,8242,998,-,72097,6548,4644,10413,239510,11651,4171,856924,12211,8826,23065,2705,20226,9928,6146,12345,270685,19339,9343,3014,5728,23095,69908,5879,72148,10059,20910,11519,818,216831,4343,51213,5105,6418,19338,898,273,6857,5962,26949,70350,15516,110351,84223,12343,10075,8454,22978,12322,128876,207615,10971,235661,20168,20479,23216,20404,894,2778,65970,54994,7052,235604,10081,5500,6629,1345,8398,16792,51474,6261,9759,4627,4900,70405,8924,5257,64770,71770,23643,30948,104886,81533,5431,68203,4650,1795,51562,9212,20362,7919,6667,51886,160140,26012,4904,270097,18952,51366,7334,5903,9669,2580,10206,51377,23451,3655,108124,1460,23288,9657,4284,58533,93377,10988,54165,6045,25980,3717,74325,4008,6285,7531,1956,2869,5475,5052,13823,79008,11060,9493,9924,1627,23317,4137,20965,4638,10868,108645,1655,490,3781,85366,59272,17760,2235,22343,2064,5470,17196,3708,80297,23352,10274,75786,53332,7518,320191,67040,128153,23224,13424,9472,23521,53972,1657,4637,55719,9482,2730,23759,546,129025,18844,7249,100288687,401152,1457,67054,77980,2065,68045,7178,867,10600,6850,7525,890,20430,2814,1894,55503,3308,73442,26268,85451,11338,18015,6247,128866
857	T	7410,64805,7010,160728,16525,4846,695,823,5862,7186,51259,56334,5338,4507,7415,220,5519,3337,10112,93380,5515,4323,1605,8717,14252,1901,2109,75608,1910,5957,7334,81555,3791,114571,2846,54443,5740,5878,1445,5727,12166,7417,6576,202915,12261,6047,6011,5159,7037,2706,1213,1489672,6652,6888,6301,309,83639,-,269523,54205,7099,51155,2177,5335,5777,22985,10482,5496,1728,2549,2740,5635,185,389,6117,1956,9218,92014,64838,26127,4914,1080,10213,2869,9474,23065,11329,660,5518,11060,8795,2705,10625,306,5636,857,1627,7046,7114,4306,9928,9710,4763,50850,859,495,79139,88455,9373,2534,3778,6714,51060,7132,56852,5728,3741,156,9168,5524,3654,11332,4522,1499,3856,7879,54472,5879,7414,54940,6613,51026,9967,5792,387,25820,1025,10013,3738,112,12488,19345,84255,2923,22088,10544,2539,8312,23435,16477,4804,152007,5594,6118,4343,2194,5499,7353,2319,4363,84557,2149,824,2098,5742,51727,20617,55512,43740578,2697,4040,6622,23197,3916,355,5743,154141,4170,2191,8078,3397,5156,5770,9113,10395,5468,858,2100,7048,9532,11331,5634,111,23371,5595,3358,7124,7249,3710,9140,8878,7316,25844,284119,360,5781,10161,7416,3320,471,7178,6612,4087,23790,65970,1489669,3098,960,104831,3643,6196,659,55829,4843,1894,200728,6869,351,51474,55362,5245,10327,67809,83737,6902,3315,10825,5631,7133,1131,389898,367,9520,5566,3782,55117,23209,83718,231225,8655,10211,85409,7852,80700,8452,6342,43740571,51592,7220,7851,25962,2099,60,5243,871,128866,657,6119,637
284119	T	55275,5715,9055,6144,4869,14251,6645,5862,56334,51317,10524,406,8089,23186,10112,29844,93380,2122,14252,8379,79654,738,75608,81555,4704,5033,54443,5878,83444,4609,12166,43740568,12261,83540,7014,6047,63893,3991,3312,55197,11140,51185,23140,23028,7402,2177,151963,3609,10413,9820,5868,57584,4719,26355,9531,9218,1956,7589,3725,10213,653583,57556,112464,139067,6191,9493,1489678,57701,857,1627,7031,6046,54819,55211,9928,80311,10528,9329,859,118427,10791,9343,56852,171482,1994,5447,10138,4149,572,29941,3187,7879,57215,57587,51026,9221,11339,19345,594,2074,56086,5445,10514,10159,43740577,5590,2319,23363,54801,8019,1859,55610,10363,23265,1856,3916,7707,27342,162239,54535,54520,154141,2274,4809,84311,5770,10972,10928,79784,22890,821,7384,9815,149465,9910,7270,7286,254187,126282,4723,5170,9950,260425,7316,100288687,494119,284119,9575,10586,23530,493829,3098,104831,56850,1894,30836,90441,55362,55536,16319,67809,7726,53860,7080,3608,43740575,444,60385,80179,1660,9342,91875,9793,43740571,1756,55763,9666,23219,523
948	T	928,3690,4145,4067,2239,7525,351,3674,3667,55832,54677,3949,79143,3688,2534,79669,3655,7436,338,8646,3290
25932	T	1399,6767,7706,65260,26275,10016,6697,23576,372,80347,1192,8209,7163,7415,8659,1489048,1605,7345,23234,53405,10910,2950,23203,1445,5695,4609,5034,3188,3326,6647,29114,7167,10054,11315,7430,1642,7531,10397,4914,9588,286262,5689,5621,23564,2023,1017,51110,51218,100,1327,6464,3033,2395,136319,52717,9377,2074,5877,140694,23474,25796,51727,978,35,84886,50,4706,8407,5966,2100,54704,5683,3094,10146,54102,83932,1508,3418,84681,69957,81932,4357,1193,27258,2653,5686,4843,5692,5684,1429,29937,6902,2987,3383,9380,2224,5682,7001,51056,22929,3178
1268	T	84081,2773,5909,6755,2771,2770,1268
26958	T	5789,26958,440026,11316,81622,83493,1812,9276,10614,9150,972,4171,22938,372,29978,482,50636,4714,7514,43740577,4914,1080,10155,22818,26168,57664,51296,43740574,1894,84955,90850,12847,22820,6780,999,10618,26136,84236,43740573,9493,988,79651,55716,5031,6472,43740578,26270,9500,51547,79370,4609,1314,8924,43740572,1489672,57801,1994,10972,43740571,2100,-,5395,821,90379,25962,2099,8729,3362,7182,10551,128866,1315,43740576,6615
1509	T	143888,7706,9476,34,768,5869,55011,6517,7386,51377,4609,8939,60365,1666,5538,3945,2177,330,501,2108,5868,200734,856924,1956,100009586,1080,6462,525,65018,26270,4137,26094,3014,3428,5660,3611,57721,155971,5354,7879,10551,5476,7780,7453,8045,9761,54413,5594,29978,43740577,3981,43740574,160287,851676,6622,3916,8065,7184,7385,10075,374354,644943,2100,58472,3178,4357,3939,4155,51400,8801,9182,1489368,8453,55681,9380,3316,5093,328,6340,481,27185
1565	T	1565,1528,1559,5447
8701	T	54443,23390
1813	T	9725,8834,79086,56834,10313,527,23471,57142,23671,84687,81035,1759,1902,7417,801,5579,51090,84336,27069,78987,57414,2036,1785,20,1956,51310,151188,57348,79957,4482,6529,3762,10237,79948,2316,2907,409,51107,54857,6252,9568,29956,6696,887,54872,80762,79971,10681,10134,3763,121260,808,9144,135,7018,3760,7224,23545,56650,55146,54102,4723,25844,575,2550,10715,5074,56994,9289,23413,2861,7223,4741,6752,1813,55973,7466,400,7220,6508,10955,11152,10099,7102
1783	T	3921,23043,56455,22938,7919,8450,6787,7415,23155,4904,6228,800,55738,138716,25966,831,57060,8867,79670,57506,124808,9867,10399,18472,23141,79180,23130,9533,6231,4914,1080,57664,229841,3181,445815,85461,1738,9522,2316,3482,1994,3187,23274,1639,2039,302,91408,392,1778,65979,6990,67068,4961524,1781,6455,6193,988,6472,6201,1783,10540,13424,675,4682,84376,95681,27335,55717,25893,23299,150274,23603,23277,2100,10580,51199,235661,6453,90861,13427,8878,2035,51143,80324,7165,2548,28988,58513,83658,23157,841,351,22981,1780,6993,6923,158471,8655,4836,8452,57175
